ID,Technology,Max Output [MW], Marginal Cost [ua/MW],Inertia [MWs^2],Primary Control [MWs]
2717,RR,291,10,0.055577,0.021098
2731,LI,345,24,0.13178,0.025013
2739,PS,220,100,0.042017,0.01595
2756,LI,170,24,0.064935,0.012325
2758,LI,1285,24,0.49083,0.093163
2764,LI,177,24,0.067609,0.012833
2766,CG,95,110,0.036287,0.01
2767,HC,950,35,0.36287,0.068875
2768,HC,676,35,0.25821,0.04901
2777,HY,198,60,0.037815,0.014355
2783,CG,120,110,0.045837,0.01
2784,LI,697,24,0.26623,0.050533
2793,RR,213,10,0.04068,0.015443
2846,FM,921.7,100,0.35206,0.066823
2852,RR,55,10,0.03,0.01
2864,RR,357,10,0.068182,0.025883
2867,DA,280,80,0.071301,0.0203
2869,RR,390,10,0.074485,0.028275
2884,NU,2246,16,0.85791,0.16284
2885,FO,256,100,0.097785,0.01856
2889,LI,5000,24,2.0351,0.38628
2898,HC,275,35,0.10504,0.019938
2906,RR,100,10,0.03,0.01
2915,LI,116,24,0.044309,0.01
2925,HC,1607.5,35,0.61402,0.11654
2928,HC,121,35,0.046219,0.01
2930,DA,58,80,0.03,0.01
2934,HC,208,35,0.07945,0.01508
2937,RR,1080,10,0.20626,0.0783
2939,LI,310,24,0.11841,0.022475
2948,CG,912,110,0.34836,0.06612
2966,DA,630,80,0.16043,0.045675
2973,HC,563,35,0.21505,0.040818
2974,CG,400,110,0.15279,0.029
2981,RR,63,10,0.03,0.01
3022,RR,131,10,0.03,0.01
3023,RR,249,10,0.047555,0.018053
3059,LI,1752,24,0.66921,0.12702
3064,HC,1772,35,0.67685,0.12847
3074,CG,800,110,0.30558,0.058
3075,RR,625,10,0.11937,0.045313
3094,HY,933,60,0.17819,0.067643
3108,LI,618,24,0.23606,0.044805
3109,DA,303,80,0.077158,0.021968
3123,RR,50,10,0.03,0.01
3159,OT,50,10,0.03,0.01
3160,OT,150,10,0.03,0.010875
3162,CG,1600,110,0.61115,0.116
3182,HC,556,35,0.21238,0.04031
3198,CG,862,110,0.32926,0.062495
3208,LI,626,24,0.23911,0.045385
3214,HC,2880,35,1.1001,0.2088
3216,LI,600,24,0.22918,0.0435
3227,HC,322.5,35,0.12319,0.023381
3231,CG,476,110,0.18182,0.03451
3243,LI,2310,24,0.88236,0.16748
3249,RR,140,10,0.03,0.01015
3250,LI,225,24,0.085944,0.016313
3253,LI,300,24,0.11459,0.02175
3258,HC,1800,35,0.68755,0.1305
3264,LI,1250,24,0.47746,0.090625
3269,DA,600,80,0.15279,0.0435
3272,LI,617,24,0.23568,0.044733
3277,RR,957,10,0.18277,0.069383
3287,RR,255,10,0.048701,0.018488
3290,DA,62,80,0.03,0.01
3316,HY,240,60,0.045837,0.0174
3317,HY,254,60,0.04851,0.018415
3356,DA,147,80,0.037433,0.010658
3359,HY,360,60,0.068755,0.0261
3364,CG,427,110,0.1631,0.030958
3369,LI,323,24,0.12338,0.023418
3388,CG,1470,110,0.5615,0.10658
3394,FO,194,100,0.074103,0.014065
3397,CG,338,110,0.12911,0.024505
3399,CG,550,110,0.21008,0.039875
3402,LI,930,24,0.35523,0.067425
3403,LI,246,24,0.093965,0.017835
3408,RR,149,10,0.03,0.010803
3409,RR,300,10,0.057296,0.02175
3410,RR,335,10,0.06398,0.024288
3411,RR,106,10,0.03,0.01
3416,LI,1320,24,0.5042,0.0957
3420,NU,2000,16,0.76394,0.145
3424,DA,129.9,80,0.033079,0.01
3426,LI,1150,24,0.43927,0.083375
3427,LI,1595,24,0.60925,0.11564
3428,DA,84,80,0.03,0.01
3431,DA,500,80,0.12732,0.03625
3434,CG,250,110,0.095493,0.018125
3462,HC,1274,35,0.48663,0.092365
3463,FM,1000,100,0.38197,0.0725
3478,CG,2970,110,1.1345,0.21533
3494,RR,254,10,0.04851,0.018415
3495,DA,75,80,0.03,0.01
3496,RR,173,10,0.033041,0.012543
3498,DA,159,80,0.040489,0.011528
3501,CG,1176,110,0.4492,0.08526
3515,HC,972,35,0.37128,0.07047
3516,CG,226,110,0.086326,0.016385
3520,HC,647,35,0.24714,0.046908
3526,LI,200,24,0.076394,0.0145
3537,CG,117,110,0.044691,0.01
3539,RR,210,10,0.040107,0.015225
3541,RR,75,10,0.03,0.01
3543,CG,550,110,0.21008,0.039875
3558,PS,1599,100,0.30539,0.11593
3561,RR,116,10,0.03,0.01
3562,DA,333.6,80,0.084951,0.024186
3563,CG,1166,110,0.44538,0.084535
3566,LI,330,24,0.12605,0.023925
3568,RR,500,10,0.095493,0.03625
3569,FM,186,100,0.071047,0.013485
3571,LI,675,24,0.25783,0.048938
3572,RR,262,10,0.050038,0.018995
3575,FO,1455,100,0.55577,0.10549
3576,RR,81,10,0.03,0.01
3584,CG,3240,110,1.2376,0.2349
3586,CG,2075.5,110,0.79278,0.15047
3587,HY,780,60,0.14897,0.05655
3623,HC,1159,35,0.44271,0.084028
3627,HC,324,35,0.12376,0.02349
3639,RR,198,10,0.037815,0.014355
3644,FM,442,100,0.16883,0.032045
3652,HC,539,35,0.20588,0.039078
3656,RR,367,10,0.070092,0.026608
3658,FM,535,100,0.20435,0.038788
3669,RR,240,10,0.045837,0.0174
3670,CG,75,110,0.03,0.01
3680,DA,116,80,0.03,0.01
3681,DA,108,80,0.03,0.01
3723,FM,802,100,0.30634,0.058145
3739,FO,670,100,0.25592,0.048575
3742,CG,360,110,0.13751,0.0261
3744,CG,416.9,110,0.15924,0.030225
3747,DA,54.2,80,0.03,0.01
3750,FO,1691,100,0.64591,0.1226
3759,CG,990,110,0.37815,0.071775
3762,FM,814,100,0.31093,0.059015
3765,HC,716,35,0.27349,0.05191
3768,LI,1260,24,0.48128,0.09135
3770,FO,1556,100,0.59435,0.11281
3771,LI,630,24,0.24064,0.045675
3775,FO,908,100,0.34683,0.06583
3776,RR,134,10,0.03,0.01
3779,PS,368,100,0.070283,0.02668
3780,CG,437,110,0.16692,0.031683
3785,FO,1277,100,0.48778,0.092583
3786,RR,660,10,0.12605,0.04785
3796,PS,375,100,0.07162,0.027188
3799,LI,1661,24,0.63446,0.12042
3804,RR,566,10,0.1081,0.041035
3805,RR,88,10,0.03,0.01
3807,FO,1551.8,100,0.59274,0.11251
