ID, Name,Voltage [KV],Demand [MW],Load Freq Coeff [WMs],Country,Population Prop,Longitude,Latitude
2249,Hesseln 220,220,43.5,0.0020787,DE,0.00063281,8.2068,52.039
2250,Unlabeled_376 220,220,40,0.0019116,DE,0.00058193,8.4375,51.9578
2251,Unlabeled_377 220,220,35.6,0.0016994,DE,0.00051732,8.5474,51.8968
2252,Dollern 380,380,341.7,0.016314,DE,0.0049662,9.5142,53.4161
2253,Sottrum 220,220,49.1,0.0023437,DE,0.00071345,9.2395,53.0412
2254,Unlabeled_378 380,380,100.8,0.0048131,DE,0.0014652,8.3716,52.4627
2255,Lehrte 220,220,82,0.0039157,DE,0.001192,10.0195,52.3353
2256,Wechold 220,220,48.2,0.0022991,DE,0.00069988,8.9868,52.8227
2257,Wahle 220,220,58.1,0.0027736,DE,0.00084434,10.448,52.2614
2258,Veltheim 220,220,36.2,0.0017306,DE,0.00052682,8.9209,52.1739
2259,Meiben 220,220,65,0.003102,DE,0.00094429,9.1187,52.248
2260,Unlabeled_379 380,380,396.6,0.018935,DE,0.0057641,12.9441,52.3716
2261,Reuter West 380,380,393.1,0.018772,DE,0.0057144,12.9309,52.4627
2262,Hennigsdorf 220,220,134.2,0.0064056,DE,0.00195,13.0518,52.6431
2263,Unlabeled_380 220,220,130.2,0.0062168,DE,0.0018925,12.9749,52.703
2264,Brandenburg West 220,220,34.9,0.0016646,DE,0.00050675,12.1399,52.3353
2265,Windpark Putlitz 380,380,24.7,0.0011817,DE,0.00035972,12.2498,53.3374
2266,Putlitz/Sud 380,380,25.6,0.0012207,DE,0.00037162,12.3926,53.2718
2267,Stadorf 380,380,162.7,0.0077704,DE,0.0023654,10.3931,53.0082
2268,Unlabeled_381 220,220,17.2,0.00082168,DE,0.00025013,13.2825,53.7487
2269,Gustrow 380,380,82.4,0.0039339,DE,0.0011976,12.2058,53.7617
2270,Bentwisch 220,220,30.7,0.0014648,DE,0.00044591,12.2717,54.0658
2271,Pasikurowice 380,380,191.6,0.0091481,PL,0.0092828,17.0618,51.1793
2272,Mikulowa 220,220,44.5,0.0021228,PL,0.002154,15.0842,51.069
2273,Unlabeled_382 380,380,408.6,0.019511,DE,0.0059394,13.5129,52.7028
2274,Marzahn 380,380,412.4,0.019689,DE,0.0059936,13.645,52.4225
2275,Neuenhagen 220,220,132.9,0.0063479,DE,0.0019324,13.8977,52.4694
2276,Krasikov 380,380,113.9,0.005439,CZ,0.013184,16.6882,49.8946
2277,Bicske Del 380,380,357.9,0.017088,HU,0.071008,18.5889,47.5691
2278,Perkata 380,380,75.2,0.003592,HU,0.014927,18.7427,46.9877
2279,Sandorfalva 380,380,172.3,0.0082257,HU,0.034182,20.1709,46.3014
2280,Albertirsa 380,380,142,0.0067792,HU,0.028171,19.7205,47.2121
2281,Unlabeled_383 380,380,43.3,0.0020697,SK,0.012315,18.446,48.232
2282,Mochovce 380,380,60.2,0.0028739,SK,0.0171,18.3801,48.3854
2283,Zuglo 220,220,137.8,0.0065793,HU,0.027341,19.292,47.5469
2284,Moszczenica 220,220,74.3,0.0035469,PL,0.0035991,18.6218,49.9371
2285,Unlabeled_384 220,220,72.4,0.0034551,PL,0.003506,18.9404,49.8522
2286,Unlabeled_385 220,220,81.6,0.0038946,PL,0.0039519,18.6877,49.9371
2287,Unlabeled_386 220,220,64,0.0030538,PL,0.0030987,19.1711,49.9371
2288,Sucany 220,220,28.7,0.0013707,SK,0.0081559,18.8855,49.0235
2289,Varin 380,380,79.2,0.0037807,SK,0.022495,18.7866,49.1961
2290,Kletne 380,380,221.2,0.01056,CZ,0.025598,17.8967,49.7529
2291,Unlabeled_387 380,380,249.6,0.011919,CZ,0.028892,18.4351,49.8663
2292,Albrechtice 380,380,228.2,0.010894,CZ,0.026408,18.3362,49.7742
2293,Otrokovice 380,380,205.8,0.0098248,CZ,0.023816,17.4463,49.2391
2294,Jaslovske  Bohunice 380,380,110.9,0.0052943,SK,0.031501,17.5122,48.4656
2295,Levice 380,380,48.9,0.0023365,SK,0.013902,18.5669,48.21
2296,Unlabeled_388 380,380,64.3,0.0030687,SK,0.018259,17.5781,48.5312
2297,Tuzla 220a,220,32.5,0.0015525,BA,0.018475,18.5339,44.4573
2298,Kakanj 220b,220,58.7,0.0028021,BA,0.033345,18.1604,44.056
2299,Salakovac 220,220,16.8,0.00079984,BA,0.0095181,17.8308,43.4768
2300,Jablanica 220,220,65.9,0.0031462,BA,0.03744,17.8528,43.7552
2301,Mladost 380,380,278.2,0.013281,RS,0.043462,20.1379,44.8013
2302,Sremska Mitrovica 220,220,62.9,0.0030045,RS,0.0098324,19.5007,45.1511
2303,Tuzla 380,380,97.5,0.0046575,BA,0.055424,18.5339,44.4573
2304,Sarajevo 20 380,380,135,0.0064457,BA,0.076704,18.4131,43.8028
2305,Trebinje 380,380,39.3,0.0018781,BA,0.022349,18.3911,42.7067
2306,Capljina 220a,220,20.5,0.00097683,BA,0.011624,17.666,43.1331
2307,EAL 220,220,14.9,0.00070986,BA,0.0084473,17.9626,43.2132
2308,Mostar 3 220,220,15.3,0.00073103,BA,0.0086992,17.7759,43.2372
2309,Laino 380,380,68.1,0.0032539,IT,0.0015775,15.9521,40.0781
2310,Montecorvino 220,220,68.4,0.0032661,IT,0.0015835,14.9194,40.664
2311,Matera 380,380,167,0.0079731,IT,0.0038654,16.6553,40.5973
2312,Brindisi P. 380,380,185,0.0088348,IT,0.0042833,17.7319,40.614
2313,Galatina 380,380,317.4,0.015153,IT,0.0073464,18.0945,39.994
2314,Brindisi /S. 380b,380,119.4,0.0056993,IT,0.0027631,17.9956,40.5722
2315,Brindisi /S. 380c,380,144.9,0.0069183,IT,0.0033541,18.0615,40.5138
2316,Gaussa 380,380,128.1,0.0061142,ES,0.0034798,-0.38452,39.741
2317,Unlabeled_389 220,220,37.2,0.0017743,ES,0.0010098,-0.32959,39.9097
2318,Unlabeled_390 220,220,18.8,0.00089977,ES,0.00051208,-0.41863,39.9695
2319,El Ingenio 220,220,17.5,0.00083549,ES,0.0004755,0.14282,40.2124
2320,Assegador 220,220,15.8,0.00075233,ES,0.00042817,-0.20874,40.0024
2321,Benadresa 220,220,17.3,0.00082414,ES,0.00046904,0.021973,40.2963
2322,Unlabeled_391 380,380,5.4,0.0005,ES,0.0001456,-1.4832,39.6734
2323,Torrente 380,380,122.8,0.0058632,ES,0.0033369,-0.4834,39.4447
2324,Catadau 380,380,142.1,0.0067861,ES,0.0038622,-0.53833,39.2578
2325,Godelleta 380,380,6.3,0.0005,ES,0.00017248,-1.3293,39.4701
2326,Unlabeled_392 220,220,39.2,0.0018732,ES,0.0010661,-0.53833,39.5634
2327,Beniferri 220,220,40.6,0.0019401,ES,0.0011042,-0.47241,39.5972
2328,Mediano 220,220,4.1,0.0005,ES,0.00011179,0.19775,42.3098
2329,Moralets 220,220,4.1,0.0005,ES,0.00011085,0.76904,42.7309
2330,C.H. Eriste 220,220,1.5,0.0005,ES,4.1648e-05,0.36255,42.5774
2331,Unlabeled_393 380,380,15.6,0.00074473,ES,0.00042384,-5.1381,42.0341
2332,Olmedo 380,380,21.7,0.0010366,ES,0.00058993,-5.0317,41.1704
2333,Montearenas 380,380,16.7,0.00079629,ES,0.00045319,-6.5259,42.4802
2334,La Mudarra 220a,220,14.2,0.00067603,ES,0.00038475,-5.1416,41.7385
2335,Montblanc 220,220,18.4,0.00087711,ES,0.00049919,0.86792,41.4098
2336,Magallon 220,220,5.9,0.0005,ES,0.00016049,-1.5271,41.8205
2337,Entrerrios 220,220,36.5,0.0017419,ES,0.00099134,-1.3074,41.7713
2338,El Ventero 220,220,33.3,0.0015906,ES,0.00090528,-0.78003,41.3851
2339,Fuendetodos 220,220,2.8,0.0005,ES,7.5479e-05,-1.0437,41.1869
2340,L. Viso 220,220,8.2,0.0005,ES,0.00022323,-1.5161,41.6154
2341,El Olivar 220,220,34.3,0.0016387,ES,0.00093266,-0.98877,41.451
2342,Cabezo de San Roque 220,220,36,0.0017189,ES,0.00097827,-1.1646,41.3273
2343,Mezquita 220,220,1.4,0.0005,ES,3.789e-05,-0.71411,40.7223
2344,S. Costera 220,220,10.8,0.00051777,ES,0.00029468,-0.91186,40.7639
2345,Mas Figueras 220,220,158.1,0.0075493,ES,0.0042965,1.7688,41.7139
2346,Unlabeled_394 380,380,12.8,0.00061149,ES,0.00034802,-2.0105,41.3191
2347,Unlabeled_395 380,380,6.8,0.0005,ES,0.00018403,-1.0217,41.0545
2348,Unlabeled_396 380,380,27.1,0.0012949,ES,0.00073699,-3.6804,43.2612
2349,Udalla 380,380,30.4,0.0014524,ES,0.00082659,-3.6035,43.1731
2350,Santurce 220,220,20.3,0.00096736,ES,0.00055055,-3.208,43.3492
2351,Unlabeled_397 220,220,19.8,0.0009455,ES,0.00053811,-3.3208,43.1966
2352,Unlabeled_398 220,220,16.5,0.00078701,ES,0.00044791,-3.2741,43.1897
2353,La Jara 220,220,16.1,0.00076666,ES,0.00043633,-3.4497,43.093
2354,Unlabeled_399 220,220,1.8,0.0005,ES,4.8157e-05,-3.4607,42.9645
2355,Nervacero 220,220,18.6,0.00088861,ES,0.00050574,-3.0542,43.2612
2356,Unlabeled_400 220,220,16.3,0.00077885,ES,0.00044327,-3.3618,43.0046
2357,Penagos 220,220,8.7,0.0005,ES,0.0002365,-3.8342,43.2772
2358,Aguayo 220,220,8.5,0.0005,ES,0.00023041,-3.988,43.117
2359,Elerebro 380,380,19.9,0.00094832,ES,0.00053972,-1.7468,42.2122
2360,Muruarte 380,380,73.9,0.0035277,ES,0.0020077,-1.7468,42.6744
2361,Olite 220,220,25.7,0.0012277,ES,0.00069872,-1.4722,42.4153
2362,Unlabeled_401 220,220,16.1,0.00076923,ES,0.00043779,-2.2522,42.3423
2363,Vilecha 380,380,64.2,0.0030639,ES,0.0017438,-5.7458,42.5531
2364,La Robla 380,380,58.5,0.0027913,ES,0.0015886,-5.8008,42.8357
2365,Guardo 380,380,7.4,0.0005,ES,0.00020056,-4.9329,42.8438
2366,Aguayo 380,380,25.4,0.0012146,ES,0.00069124,-3.988,43.117
2367,Unlabeled_402 380,380,12.7,0.00060468,ES,0.00034414,-6.6797,42.5854
2368,Unlabeled_403 220,220,2.6,0.0005,ES,6.958e-05,-4.5599,42.6083
2369,Unlabeled_404 380,380,22.2,0.001061,ES,0.00060386,-4.8662,39.9105
2370,Unlabeled_405 380,380,7.7,0.0005,ES,0.00020841,-6.9434,41.9758
2371,Unlabeled_406 380,380,79.6,0.0038015,ES,0.0021635,-5.5042,40.689
2372,Segovia 380,380,33.7,0.0016108,ES,0.00091674,-4.7791,41.1952
2373,Tordesillas 220,220,10,0.0005,ES,0.00027185,-5.3064,41.4921
2374,Unlabeled_407 380,380,54,0.0025764,ES,0.0014663,-6.2765,39.9065
2375,Lagoaca 380,380,5.9,0.0005,PT,0.00088791,-6.8445,41.2448
2376,Aldeadavila II 220a,220,1.1,0.0005,ES,2.9309e-05,-6.6357,41.1869
2377,Villamayor 220,220,24.3,0.0011602,ES,0.00066033,-5.7349,41.0048
2378,Saucelle 220,220,3.1,0.0005,ES,8.3634e-05,-6.7786,40.9301
2379,Ricobayo 220,220,7.6,0.0005,ES,0.00020611,-6.0754,41.5333
2380,Villalcampo 220,220,6.7,0.0005,ES,0.00018178,-6.1523,41.4263
2381,Unlabeled_408 380,380,27,0.0012892,ES,0.00073372,-3.6353,41.0436
2382,E.T. 380a,380,184.2,0.0087936,ES,0.0050047,-3.23,40.7473
2383,San Sebastian de los Reyes 220,220,8.6,0.0005,ES,0.00023234,-3.6255,41.0462
2384,Villimar 220,220,14.1,0.00067156,ES,0.00038221,-3.6914,42.3423
2385,Alcocero de Mola 220,220,17.7,0.00084634,ES,0.00048168,-3.3069,42.3829
2386,Tafalla 220,220,24.2,0.0011547,ES,0.00065719,-1.4612,42.5369
2387,Tardienta 220,220,39,0.0018602,ES,0.0010587,-0.65918,41.9431
2388,Rio Gallego 220,220,38.8,0.0018526,ES,0.0010543,-0.83496,41.9595
2389,Vierverlaten 220,220,119.2,0.0056911,NL,0.0073396,6.4929,53.1468
2390,Unlabeled_409 380,380,161,0.0076865,DE,0.0023399,8.4155,53.1797
2391,Maade 220,220,31.4,0.0014997,DE,0.00045653,7.998,53.5534
2392,Unlabeled_410 220,220,53.7,0.0025656,DE,0.00078103,8.3276,53.2323
2393,Emden 220,220,32.1,0.0015339,DE,0.00046694,7.262,53.3768
2394,Cloppenburg Ost 220,220,26.9,0.0012827,DE,0.00039048,8.075,52.9155
2395,Bergum 220,220,156.1,0.007451,NL,0.0096092,6.1523,53.1204
2396,Wehrendorf 220,220,32.9,0.0015719,DE,0.00047851,8.2837,52.3421
2397,Ibbenburen 380a,380,103.6,0.0049483,DE,0.0015064,7.7014,52.3152
2398,Ibbenburen 380b,380,106,0.0050615,DE,0.0015408,7.7014,52.248
2399,Westerkappeln 220,220,36.8,0.0017585,DE,0.00053533,7.9321,52.2816
2400,Lustringen 220,220,39,0.0018626,DE,0.00056702,8.1409,52.2547
2401,Paderborn-Sud 220,220,32.8,0.0015685,DE,0.00047747,8.811,51.6657
2402,Unlabeled_411 380,380,339.9,0.01623,DE,0.0049407,9.613,53.6186
2403,Hamburg-Sud 380,380,369.8,0.017658,DE,0.0053755,9.8877,53.4423
2404,Alfstedt 380,380,121.3,0.0057924,DE,0.0017633,8.9978,53.4684
2405,Abbenfleth 380,380,315.6,0.015067,DE,0.0045866,9.4482,53.6902
2406,Stade 220,220,105.3,0.0050278,DE,0.0015305,9.3494,53.5664
2407,Unlabeled_412 220,220,44.3,0.002116,DE,0.00064416,9.0308,53.0874
2408,St. Hulfe 380,380,74.7,0.0035673,DE,0.001086,8.3716,52.5897
2409,Mehrum 220,220,88.1,0.0042064,DE,0.0012805,10.1843,52.248
2410,Godenau 220,220,70.9,0.0033876,DE,0.0010312,9.7778,51.9781
2411,Braunschweig Nord 220,220,49.6,0.0023701,DE,0.00072151,10.6787,52.3085
2412,Gleidingen 220,220,57.9,0.0027629,DE,0.00084109,10.5139,52.2009
2413,Charlottenburg 380,380,402.9,0.019238,DE,0.0058565,13.0408,52.4091
2414,Mitte 380,380,396.7,0.018939,DE,0.0057653,13.1726,52.3018
2415,Unlabeled_413 380,380,33.9,0.0016206,DE,0.00049333,12.5574,53.5599
2416,Luneburg 380,380,381,0.018189,DE,0.0055371,10.437,53.2652
2417,Pasewalk 220,220,36,0.001718,DE,0.00052299,13.9856,53.4553
2418,Windpark Iven 220,220,17.8,0.00085074,DE,0.00025898,13.3044,53.7942
2419,Unlabeled_414 380,380,60.8,0.0029033,DE,0.00088382,11.7224,53.6251
2420,Bentwisch 380,380,92,0.0043944,DE,0.0013377,12.2717,54.0658
2421,Ludershagen 220,220,31.4,0.0014985,DE,0.00045616,13.0627,54.2588
2422,Bentwisch 132,132,0,0.0005,DE,0,12.2717,54.0658
2423,Ostrow 380,380,192.8,0.0092077,PL,0.0093433,17.7649,51.6248
2424,Unlabeled_415 380,380,198.1,0.0094587,PL,0.009598,17.655,51.0897
2425,Unlabeled_416 380,380,180.8,0.008634,PL,0.0087611,17.1716,51.069
2426,Polkowice 220,220,45.5,0.0021733,PL,0.0022053,16.062,51.4472
2427,Lesniow 220,220,118.1,0.005638,PL,0.005721,15.293,51.9239
2428,Cieplice 220,220,56.8,0.0027103,PL,0.0027502,15.6116,50.8337
2429,Swiebodzice 220,220,71.5,0.0034159,PL,0.0034662,16.3696,50.8129
2430,Unlabeled_417 380,380,393.1,0.018769,DE,0.0057137,13.3154,52.836
2431,Malchow 380,380,407.2,0.019441,DE,0.0059181,13.4143,52.5964
2432,Friedrichshain 380,380,407,0.019433,DE,0.0059158,13.4473,52.4359
2433,Unlabeled_418 220,220,12.2,0.00058083,DE,0.00017682,13.9307,53.1138
2434,Unlabeled_419 380,380,137.6,0.0065707,CZ,0.015928,16.897,49.8876
2435,Subotica 380,380,205.5,0.0098099,RS,0.032103,19.8633,46.0961
2436,Bekescsaba 380,380,121.4,0.0057953,HU,0.024082,21.1487,46.6494
2437,Arad 380,380,65.9,0.0031452,RO,0.0088539,21.4124,46.1798
2438,Albertirsa 750,750,0,0.0005,HU,0,19.7205,47.2121
2439,God 380,380,403.3,0.019258,HU,0.080029,19.248,47.7467
2440,Horna Zdana 380,380,85.1,0.0040641,SK,0.024181,18.8306,48.4365
2441,God 220,220,134.4,0.0064194,HU,0.026676,19.248,47.7467
2442,Detk 220,220,53.3,0.0025471,HU,0.010584,20.1599,47.8058
2443,Bujakow 220,220,43.8,0.0020898,PL,0.0021206,19.303,49.8096
2444,Komorowice 220,220,60.9,0.0029085,PL,0.0029514,18.9734,49.7955
2445,Unlabeled_420 220,220,81.8,0.0039075,PL,0.0039651,18.7207,50.0783
2446,Czeczot 220,220,59.1,0.0028219,PL,0.0028634,19.2261,49.9017
2447,Unlabeled_421 220,220,62.4,0.0029801,PL,0.003024,19.2151,49.9724
