ID1,ID2,Resistance [Ohm],Reactance [Ohm], Thermal limit [MW]
53,92,0.000879,0.005021,490
53,92,0.000879,0.005021,490
53,93,0.000859,0.00491,490
53,93,0.000859,0.00491,490
54,94,0.000228,0.002154,1700
54,94,0.000228,0.002154,1700
55,95,0.000111,0.001046,1700
55,96,0.001189,0.011251,1700
55,96,0.001189,0.011251,1700
57,68,0.002468,0.014105,490
57,68,0.002468,0.014105,490
58,97,0.00067,0.00634,1700
58,97,0.00067,0.00634,1700
58,98,0.000317,0.002995,1700
58,98,0.000317,0.002995,1700
58,99,0.001385,0.038088,1000
59,100,0.000256,0.002421,1700
59,100,0.000256,0.002421,1700
59,101,0.000426,0.004033,1700
59,101,0.000426,0.004033,1700
60,63,0.003071,0.017548,490
60,63,0.003071,0.017548,490
60,102,0.002893,0.016531,490
60,102,0.002893,0.016531,490
60,103,0.003517,0.020097,490
60,103,0.003517,0.020097,490
61,100,0.000302,0.002862,1700
61,100,0.000302,0.002862,1700
61,104,0.000297,0.002811,1700
61,104,0.000297,0.002811,1700
61,105,0.000385,0.003644,1700
61,105,0.000385,0.003644,1700
61,106,0.001385,0.038088,1000
62,107,0.002188,0.012503,490
62,107,0.002188,0.012503,490
64,108,0.001437,0.008209,490
64,108,0.001437,0.008209,490
66,109,0.000164,0.00155,1700
66,109,0.000164,0.00155,1700
67,110,0.003145,0.017968,490
67,110,0.003145,0.017968,490
67,111,0.00275,0.015713,490
67,111,0.00275,0.015713,490
67,112,0.002068,0.011816,490
67,112,0.002068,0.011816,490
68,113,0.003402,0.019439,490
68,113,0.003402,0.019439,490
69,114,0.002315,0.013226,490
69,114,0.002315,0.013226,490
69,114,0.002315,0.013226,490
69,114,0.002315,0.013226,490
69,115,0.001921,0.010975,490
69,115,0.001921,0.010975,490
69,116,0.005487,0.031353,490
69,116,0.005487,0.031353,490
70,117,0.001897,0.017951,1700
70,118,0.001385,0.038088,1000
71,119,0.003036,0.017346,490
71,120,0.001371,0.007831,490
71,121,0.01116,0.063772,490
71,122,0.006202,0.035442,490
71,122,0.006202,0.035442,490
72,113,0.001385,0.038088,1000
72,123,0.000102,0.000963,1700
72,123,0.000102,0.000963,1700
74,124,0.000602,0.0057,1700
74,125,0.001385,0.038088,1000
75,124,0.000352,0.003335,1700
75,126,0.000369,0.00349,1700
75,126,0.000369,0.00349,1700
75,127,0.001385,0.038088,1000
76,128,0.000209,0.001975,1700
76,128,0.000209,0.001975,1700
76,129,0.001385,0.038088,1000
77,130,0.001525,0.008716,490
77,130,0.001525,0.008716,490
80,131,0.000102,0.000583,490
80,132,0.002155,0.012315,490
80,132,0.002155,0.012315,490
80,133,0.002268,0.012962,490
80,134,0.002822,0.016123,490
80,134,0.002822,0.016123,490
81,135,0.001643,0.015546,1700
81,136,0.000254,0.002404,1700
81,136,0.000254,0.002404,1700
83,137,0.001585,0.015003,1700
83,137,0.001585,0.015003,1700
83,138,0.001385,0.038088,1000
84,132,0.001578,0.009019,490
84,132,0.001578,0.009019,490
85,139,0.000277,0.002621,1700
85,139,0.000277,0.002621,1700
85,139,0.000277,0.002621,1700
86,140,0.000412,0.003899,1700
86,140,0.000412,0.003899,1700
86,140,0.000412,0.003899,1700
86,141,0.00034,0.003216,1700
86,141,0.00034,0.003216,1700
86,141,0.00034,0.003216,1700
88,142,0.004592,0.026241,490
88,142,0.004592,0.026241,490
88,143,0.002549,0.014563,490
88,143,0.002549,0.014563,490
88,144,0.003645,0.020826,490
88,144,0.003645,0.020826,490
89,145,0.002416,0.013806,490
89,145,0.002416,0.013806,490
90,138,0.002574,0.01471,490
90,146,0.001903,0.010874,490
90,147,0.002328,0.0133,490
90,147,0.002328,0.0133,490
90,148,0.004127,0.023585,490
90,148,0.004127,0.023585,490
91,96,0.000972,0.0092,1700
91,96,0.000972,0.0092,1700
91,96,0.000972,0.0092,1700
94,149,0.000105,0.000997,1700
94,150,0.001112,0.010527,1700
94,150,0.001112,0.010527,1700
95,151,0.000264,0.002495,1700
96,141,0.001279,0.012108,1700
96,141,0.001279,0.012108,1700
96,152,0.00142,0.013442,1700
96,152,0.00142,0.013442,1700
96,153,0.001385,0.038088,1000
97,150,0.000401,0.003798,1700
97,150,0.000401,0.003798,1700
97,154,0.000324,0.003063,1700
97,154,0.000324,0.003063,1700
98,155,0.000186,0.001759,1700
98,155,0.000186,0.001759,1700
99,156,0.003185,0.018202,490
99,156,0.003185,0.018202,490
102,128,0.001385,0.038088,1000
102,129,0.001401,0.008005,490
102,129,0.001401,0.008005,490
103,157,0.001385,0.038088,1000
104,158,0.001105,0.010461,1700
104,159,0.000344,0.003257,1700
104,159,0.000344,0.003257,1700
104,160,0.000359,0.003401,1700
104,160,0.000359,0.003401,1700
104,161,0.001794,0.016974,1700
104,161,0.001794,0.016974,1700
104,162,0.001385,0.038088,1000
105,163,0.001385,0.038088,1000
106,164,0.00115,0.006569,490
106,164,0.00115,0.006569,490
107,156,0.001514,0.008651,490
107,156,0.001514,0.008651,490
109,130,0.001385,0.038088,1000
110,111,0.001428,0.008157,490
110,111,0.001428,0.008157,490
110,165,0.0017,0.009712,490
111,166,0.001102,0.006295,490
111,166,0.001102,0.006295,490
112,167,0.003797,0.021699,490
112,167,0.003797,0.021699,490
112,168,0.001385,0.038088,1000
112,169,0.002673,0.015273,490
112,169,0.002673,0.015273,490
112,170,0.002873,0.016414,490
112,170,0.002873,0.016414,490
113,167,0.007243,0.041388,490
113,167,0.007243,0.041388,490
113,171,0.003919,0.022394,490
113,171,0.003919,0.022394,490
114,172,0.001422,0.008124,490
114,172,0.001422,0.008124,490
114,173,0.001171,0.006689,490
114,173,0.001171,0.006689,490
115,174,0.003695,0.021115,490
115,174,0.003695,0.021115,490
116,175,0.001698,0.009701,490
116,175,0.001698,0.009701,490
117,176,0.000827,0.007828,1700
117,177,0.003288,0.031119,1700
117,177,0.003225,0.030526,1700
117,177,0.003225,0.030526,1700
117,178,0.000901,0.008531,1700
117,178,0.000901,0.008531,1700
117,179,0.000455,0.004304,1700
117,180,0.00088,0.008324,1700
117,180,0.00088,0.008324,1700
117,181,0.001385,0.038088,1000
118,182,0.002461,0.014063,490
119,120,0.001218,0.006957,490
119,133,0.004403,0.025161,490
119,183,0.000854,0.00488,490
119,184,0.006081,0.034748,490
122,182,0.007304,0.041734,490
122,185,0.001939,0.011078,490
122,185,0.001939,0.011078,490
